epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,188.028,1.2055,1.05584,1.36162,0.54293,0.38949,0.39466,0.22932,0.85634,0.69182,1.10457,0.000551425,0.000551425,0.000551425
2,373.745,0.58771,0.62782,0.3941,0.70934,0.60963,0.65159,0.38728,0.54095,0.62105,0.44259,0.00108517,0.00108517,0.00108517
3,559.19,0.56333,0.65052,0.37064,0.69095,0.56209,0.62591,0.35278,0.55179,0.70243,0.47329,0.00159691,0.00159691,0.00159691
4,744.319,0.54486,0.65358,0.34839,0.75023,0.60807,0.66757,0.40427,0.49862,0.76436,0.43492,0.00156798,0.00156798,0.00156798
5,929.51,0.5141,0.62825,0.33528,0.78066,0.67856,0.72527,0.44045,0.48675,0.60817,0.3902,0.00153497,0.00153497,0.00153497
6,1115.01,0.51607,0.60044,0.33399,0.73346,0.67996,0.69954,0.42014,0.46842,0.64076,0.38094,0.00150197,0.00150197,0.00150197
7,1300.3,0.49331,0.61989,0.31358,0.72556,0.70728,0.72961,0.45308,0.46919,0.60457,0.38454,0.00146896,0.00146896,0.00146896
8,1486,0.4829,0.59286,0.30969,0.76329,0.60898,0.68324,0.40996,0.51961,0.63294,0.45202,0.00143595,0.00143595,0.00143595
9,1671.55,0.48233,0.56242,0.31316,0.77952,0.70637,0.74488,0.4664,0.45777,0.57305,0.38108,0.00140295,0.00140295,0.00140295
10,1857.58,0.46639,0.5583,0.30294,0.84148,0.76054,0.8029,0.51961,0.42964,0.52682,0.34589,0.00136994,0.00136994,0.00136994
11,2043.31,0.44576,0.56015,0.27474,0.81089,0.72486,0.77575,0.49702,0.43442,0.55136,0.35282,0.00133693,0.00133693,0.00133693
12,2228.91,0.46509,0.53917,0.30391,0.85107,0.73306,0.79849,0.50805,0.44653,0.52742,0.36494,0.00130393,0.00130393,0.00130393
13,2414.3,0.44368,0.55645,0.2782,0.84475,0.75424,0.81987,0.53935,0.40323,0.53189,0.30262,0.00127092,0.00127092,0.00127092
14,2600.21,0.45818,0.53453,0.28616,0.86033,0.74135,0.81282,0.5382,0.40777,0.52606,0.31968,0.00123791,0.00123791,0.00123791
15,2785.65,0.42795,0.53687,0.27051,0.80531,0.76006,0.80936,0.52322,0.43327,0.51551,0.34486,0.00120491,0.00120491,0.00120491
16,2971.39,0.42977,0.53108,0.27189,0.84645,0.73898,0.79512,0.52514,0.42083,0.53873,0.34235,0.0011719,0.0011719,0.0011719
17,3156.74,0.42427,0.53813,0.27423,0.81573,0.75395,0.78419,0.51956,0.4179,0.53548,0.34624,0.00113889,0.00113889,0.00113889
18,3342.13,0.42478,0.54041,0.26104,0.80601,0.75187,0.79205,0.53435,0.4077,0.52985,0.32186,0.00110589,0.00110589,0.00110589
19,3527.66,0.40608,0.50327,0.25285,0.84962,0.77102,0.82143,0.5557,0.40174,0.50132,0.30935,0.00107288,0.00107288,0.00107288
20,3714.04,0.40953,0.49458,0.2578,0.85818,0.75793,0.83407,0.55962,0.39388,0.50055,0.30787,0.00103987,0.00103987,0.00103987
21,3900.31,0.39835,0.48984,0.24349,0.88725,0.77359,0.84507,0.57318,0.3832,0.49478,0.2957,0.00100687,0.00100687,0.00100687
